
		>>BUBBLE SORT<<

		>>Vetor_1 - ALEATORIO<<

Vetor_1[0]: 3096
Vetor_1[1]: 11511
Vetor_1[2]: 31295
Vetor_1[3]: 5481
Vetor_1[4]: 17113
Vetor_1[5]: 26099
Vetor_1[6]: 16851
Vetor_1[7]: 18519
Vetor_1[8]: 26958
Vetor_1[9]: 8205
Vetor_1[10]: 18773
Vetor_1[11]: 21920
Vetor_1[12]: 1606
Vetor_1[13]: 27117
Vetor_1[14]: 15263
Vetor_1[15]: 30791
Vetor_1[16]: 30216
Vetor_1[17]: 18126
Vetor_1[18]: 1742
Vetor_1[19]: 16003
Vetor_1[20]: 17462
Vetor_1[21]: 12501
Vetor_1[22]: 9542
Vetor_1[23]: 16058
Vetor_1[24]: 23799
Vetor_1[25]: 5537
Vetor_1[26]: 30710
Vetor_1[27]: 6317
Vetor_1[28]: 22868
Vetor_1[29]: 291
Vetor_1[30]: 5597
Vetor_1[31]: 5873
Vetor_1[32]: 27363
Vetor_1[33]: 27312
Vetor_1[34]: 13516
Vetor_1[35]: 1182
Vetor_1[36]: 10915
Vetor_1[37]: 22612
Vetor_1[38]: 3950
Vetor_1[39]: 2891
Vetor_1[40]: 20264
Vetor_1[41]: 19562
Vetor_1[42]: 27783
Vetor_1[43]: 11577
Vetor_1[44]: 3576
Vetor_1[45]: 12649
Vetor_1[46]: 11129
Vetor_1[47]: 12238
Vetor_1[48]: 11316
Vetor_1[49]: 14337
Vetor_1[50]: 31244
Vetor_1[51]: 2629
Vetor_1[52]: 635
Vetor_1[53]: 23399
Vetor_1[54]: 5998
Vetor_1[55]: 11429
Vetor_1[56]: 30731
Vetor_1[57]: 32749
Vetor_1[58]: 18553
Vetor_1[59]: 13039
Vetor_1[60]: 14633
Vetor_1[61]: 24533
Vetor_1[62]: 24885
Vetor_1[63]: 22684
Vetor_1[64]: 11460
Vetor_1[65]: 14951
Vetor_1[66]: 1950
Vetor_1[67]: 16454
Vetor_1[68]: 27989
Vetor_1[69]: 31041
Vetor_1[70]: 5031
Vetor_1[71]: 25510
Vetor_1[72]: 18697
Vetor_1[73]: 16367
Vetor_1[74]: 12414
Vetor_1[75]: 16318
Vetor_1[76]: 3362
Vetor_1[77]: 6587
Vetor_1[78]: 8978
Vetor_1[79]: 4439
Vetor_1[80]: 8346
Vetor_1[81]: 14790
Vetor_1[82]: 22995
Vetor_1[83]: 13742
Vetor_1[84]: 12810
Vetor_1[85]: 344
Vetor_1[86]: 10680
Vetor_1[87]: 875
Vetor_1[88]: 31947
Vetor_1[89]: 16501
Vetor_1[90]: 23687
Vetor_1[91]: 12242
Vetor_1[92]: 26971
Vetor_1[93]: 25777
Vetor_1[94]: 29777
Vetor_1[95]: 5181
Vetor_1[96]: 3330
Vetor_1[97]: 2629
Vetor_1[98]: 18491
Vetor_1[99]: 26570

		>>Vetor_1 - ORDENADO<<

Vetor_1[0]: 3096
Vetor_1[1]: 11511
Vetor_1[2]: 31295
Vetor_1[3]: 5481
Vetor_1[4]: 17113
Vetor_1[5]: 26099
Vetor_1[6]: 16851
Vetor_1[7]: 18519
Vetor_1[8]: 26958
Vetor_1[9]: 8205
Vetor_1[10]: 18773
Vetor_1[11]: 21920
Vetor_1[12]: 1606
Vetor_1[13]: 27117
Vetor_1[14]: 15263
Vetor_1[15]: 30791
Vetor_1[16]: 30216
Vetor_1[17]: 18126
Vetor_1[18]: 1742
Vetor_1[19]: 16003
Vetor_1[20]: 17462
Vetor_1[21]: 12501
Vetor_1[22]: 9542
Vetor_1[23]: 16058
Vetor_1[24]: 23799
Vetor_1[25]: 5537
Vetor_1[26]: 30710
Vetor_1[27]: 6317
Vetor_1[28]: 22868
Vetor_1[29]: 291
Vetor_1[30]: 5597
Vetor_1[31]: 5873
Vetor_1[32]: 27363
Vetor_1[33]: 27312
Vetor_1[34]: 13516
Vetor_1[35]: 1182
Vetor_1[36]: 10915
Vetor_1[37]: 22612
Vetor_1[38]: 3950
Vetor_1[39]: 2891
Vetor_1[40]: 20264
Vetor_1[41]: 19562
Vetor_1[42]: 27783
Vetor_1[43]: 11577
Vetor_1[44]: 3576
Vetor_1[45]: 12649
Vetor_1[46]: 11129
Vetor_1[47]: 12238
Vetor_1[48]: 11316
Vetor_1[49]: 14337
Vetor_1[50]: 31244
Vetor_1[51]: 2629
Vetor_1[52]: 635
Vetor_1[53]: 23399
Vetor_1[54]: 5998
Vetor_1[55]: 11429
Vetor_1[56]: 30731
Vetor_1[57]: 32749
Vetor_1[58]: 18553
Vetor_1[59]: 13039
Vetor_1[60]: 14633
Vetor_1[61]: 24533
Vetor_1[62]: 24885
Vetor_1[63]: 22684
Vetor_1[64]: 11460
Vetor_1[65]: 14951
Vetor_1[66]: 1950
Vetor_1[67]: 16454
Vetor_1[68]: 27989
Vetor_1[69]: 31041
Vetor_1[70]: 5031
Vetor_1[71]: 25510
Vetor_1[72]: 18697
Vetor_1[73]: 16367
Vetor_1[74]: 12414
Vetor_1[75]: 16318
Vetor_1[76]: 3362
Vetor_1[77]: 6587
Vetor_1[78]: 8978
Vetor_1[79]: 4439
Vetor_1[80]: 8346
Vetor_1[81]: 14790
Vetor_1[82]: 22995
Vetor_1[83]: 13742
Vetor_1[84]: 12810
Vetor_1[85]: 344
Vetor_1[86]: 10680
Vetor_1[87]: 875
Vetor_1[88]: 31947
Vetor_1[89]: 16501
Vetor_1[90]: 23687
Vetor_1[91]: 12242
Vetor_1[92]: 26971
Vetor_1[93]: 25777
Vetor_1[94]: 29777
Vetor_1[95]: 5181
Vetor_1[96]: 3330
Vetor_1[97]: 2629
Vetor_1[98]: 18491
Vetor_1[99]: 26570

		>>Vetor_2 - ALEATORIO<<

Vetor_2[0]: 921
Vetor_2[1]: 29294
Vetor_2[2]: 18927
Vetor_2[3]: 23066
Vetor_2[4]: 7555
Vetor_2[5]: 4031
Vetor_2[6]: 31510
Vetor_2[7]: 19616
Vetor_2[8]: 20546
Vetor_2[9]: 972
Vetor_2[10]: 30797
Vetor_2[11]: 19994
Vetor_2[12]: 20663
Vetor_2[13]: 8963
Vetor_2[14]: 11042
Vetor_2[15]: 11630
Vetor_2[16]: 20350
Vetor_2[17]: 17314
Vetor_2[18]: 6311
Vetor_2[19]: 1018
Vetor_2[20]: 18127
Vetor_2[21]: 25618
Vetor_2[22]: 15986
Vetor_2[23]: 11910
Vetor_2[24]: 24482
Vetor_2[25]: 2935
Vetor_2[26]: 16616
Vetor_2[27]: 21110
Vetor_2[28]: 12823
Vetor_2[29]: 6277
Vetor_2[30]: 20156
Vetor_2[31]: 17220
Vetor_2[32]: 25876
Vetor_2[33]: 29333
Vetor_2[34]: 23986
Vetor_2[35]: 23598
Vetor_2[36]: 28976
Vetor_2[37]: 20728
Vetor_2[38]: 9385
Vetor_2[39]: 8748
Vetor_2[40]: 2768
Vetor_2[41]: 3211
Vetor_2[42]: 30424
Vetor_2[43]: 16933
Vetor_2[44]: 30607
Vetor_2[45]: 12171
Vetor_2[46]: 25688
Vetor_2[47]: 16226
Vetor_2[48]: 21220
Vetor_2[49]: 14251
Vetor_2[50]: 17378
Vetor_2[51]: 26179
Vetor_2[52]: 1535
Vetor_2[53]: 15972
Vetor_2[54]: 2523
Vetor_2[55]: 22321
Vetor_2[56]: 30451
Vetor_2[57]: 31629
Vetor_2[58]: 4237
Vetor_2[59]: 15827
Vetor_2[60]: 13082
Vetor_2[61]: 22059
Vetor_2[62]: 13752
Vetor_2[63]: 2181
Vetor_2[64]: 6325
Vetor_2[65]: 30602
Vetor_2[66]: 29001
Vetor_2[67]: 13318
Vetor_2[68]: 17364
Vetor_2[69]: 5261
Vetor_2[70]: 18793
Vetor_2[71]: 32624
Vetor_2[72]: 17014
Vetor_2[73]: 24898
Vetor_2[74]: 18361
Vetor_2[75]: 7278
Vetor_2[76]: 21488
